origin,destination,dist_km,total_veh,n_av,n_normal,av_fraction,E_eff,ground_max,domain_max,ground_mean
2119,2121,2.023971733,790.810599797988,0,790.810599797988,0,1.52548341010414e-09,1.04466124980031e-08,1.04466124980031e-08,6.76957916233367e-09
2119,2125,2.563154726,430.415655007386,0,430.415655007386,0,8.30277112282766e-10,5.68579323808372e-09,5.68579323808372e-09,3.68448886500068e-09
2119,2130,2.96757456,525.150716104526,0,525.150716104526,0,1.0130222147078e-09,6.9372439312197e-09,6.9372439312197e-09,4.4954497900432e-09
2120,2115,0.952875416,164959.024693233,0,164959.024693233,0,3.18207995164415e-07,2.11302954539363e-06,2.11302954539363e-06,1.38666165250245e-06
2120,2118,2.237183405,164905.109372754,0,164905.109372754,0,3.1810399184559e-07,2.17839742790251e-06,2.17839742790251e-06,1.41163787189666e-06
2120,2119,1.305711996,165025.442280495,0,165025.442280495,0,3.18336115510214e-07,2.17998702629465e-06,2.17998702629465e-06,1.41266795817142e-06
2120,2130,2.994964442,164989.969552472,0,164989.969552472,0,3.18267688179923e-07,2.17951843135675e-06,2.17951843135675e-06,1.41236430083486e-06
2121,2119,2.023971733,387.548970611615,0,387.548970611615,0,7.47586748864998e-10,5.11952409466152e-09,5.11952409466152e-09,3.31753701392778e-09
2121,2122,3.969033818,220310.607438606,0,220310.607438606,0,4.24981881633113e-07,2.9103043708553e-06,2.9103043708553e-06,1.88592578012793e-06
2121,2124,2.549820527,329943.940771939,0,329943.940771939,0,6.36465935131055e-07,4.35856132453081e-06,4.35856132453081e-06,2.82442044499472e-06
2121,2125,2.709846204,359.733071095514,0,359.733071095514,0,6.93929535292272e-10,4.75207590466213e-09,4.75207590466213e-09,3.07942445727532e-09
2121,2126,3.557329907,634.539412212498,0,634.539412212498,0,1.22403435997781e-09,8.38226922576395e-09,8.38226922576395e-09,5.43185028588448e-09
2121,2130,2.378980882,446.43513977739,0,446.43513977739,0,8.61178896175521e-10,5.8974107225391e-09,5.8974107225391e-09,3.82162052499366e-09
2122,2121,3.969033818,329460.432432432,0,329460.432432432,0,6.35533241574908e-07,4.35217417663007e-06,4.35217417663007e-06,2.82028146660877e-06
2122,2124,3.035840126,733.333333333333,0,733.333333333333,0,1.41460905349794e-09,9.68733748277932e-09,9.68733748277932e-09,6.27755628673435e-09
2122,2125,2.394128776,329562.794520548,0,329562.794520548,0,6.35730699306613e-07,4.35352638039328e-06,4.35352638039328e-06,2.82115771720392e-06
2124,2121,2.549820527,329460.432432432,0,329460.432432432,0,6.35533241574908e-07,4.35217417663007e-06,4.35217417663007e-06,2.82028146660877e-06
2124,2122,3.035840126,733.333333333333,0,733.333333333333,0,1.41460905349794e-09,9.68733748277932e-09,9.68733748277932e-09,6.27755628673435e-09
2124,2126,2.271222943,329538.030769231,0,329538.030769231,0,6.35682929724597e-07,4.35319925109826e-06,4.35319925109826e-06,2.82094573196379e-06
2125,2118,2.750825735,412.653411609838,0,412.653411609838,0,7.96013525481941e-10,5.45115390229738e-09,5.45115390229738e-09,3.53243866130961e-09
2125,2119,2.563154726,471.637128832528,0,471.637128832528,0,9.09793844198549e-10,6.23032914055878e-09,6.23032914055878e-09,4.03735721339997e-09
2125,2121,2.709846204,932.295329512081,0,932.295329512081,0,1.79840920044769e-09,1.23156265780943e-08,1.23156265780943e-08,7.98073146391587e-09
2125,2122,2.394128776,439999.417819986,0,439999.417819986,0,8.48764309066331e-07,5.81239479906631e-06,5.81239479906631e-06,3.76652878840269e-06
2125,2127,2.505750037,251.030637164988,0,251.030637164988,0,4.84241198234931e-10,3.31611613736505e-09,3.31611613736505e-09,2.14889857431546e-09
2126,2124,2.271222943,330155.725349755,0,330155.725349755,0,6.36874470196287e-07,4.3613590000021e-06,4.3613590000021e-06,2.82623338536913e-06
2126,2130,4.155079203,561.117603134655,0,561.117603134655,0,1.08240278382457e-09,7.41236671240042e-09,7.41236671240042e-09,4.803337277939e-09
2126,2131,2.715138703,807.301784094474,0,807.301784094474,0,1.55729510820693e-09,1.06644611358723e-08,1.06644611358723e-08,6.91074871368289e-09
2126,2136,2.368,330155.725349755,0,330155.725349755,0,6.36874470196287e-07,4.3613590000021e-06,4.3613590000021e-06,2.82623338536913e-06
2127,2110,2.811209001,235.741895476625,0,235.741895476625,0,4.54749026768181e-10,3.11415177315293e-09,3.11415177315293e-09,2.01802229726722e-09
2127,2111,2.385681299,352.595951417004,0,352.595951417004,0,6.80161943319838e-10,4.65779451332479e-09,4.65779451332479e-09,3.01832854294758e-09
2127,2118,2.627991548,468.929277348294,0,468.929277348294,0,9.04570365255197e-10,6.19455840713011e-09,6.19455840713011e-09,4.01417718143397e-09
