"ZIPCODE","Hybrid","Not Advanced","Zero-Emission","TOTAL","modelled"
"60640",0,0,1636.616644,1636.616644,FALSE
"20910",0,1627.776,0,1627.776,FALSE
"20001",0,1626.56,0,1626.56,FALSE
"02153",0,1608.768,0,1608.768,FALSE
"60654",0,0,1583.30122,1583.30122,FALSE
"84094",1525.468,0,0,1525.468,FALSE
"01217",0,1524.824,0,1524.824,FALSE
"39402",0,1508.887748,0,1508.887748,FALSE
"02451",0,0,1479.249659,1479.249659,FALSE
"28215",0,0,1479.249659,1479.249659,FALSE
"45242",0,0,1479.249659,1479.249659,FALSE
"02453",0,1456.857136,0,1456.857136,FALSE
"53711",0,1456.857136,0,1456.857136,FALSE
"01886",0,0,1452.776,1452.776,FALSE
"07302",0,1427.793382,0,1427.793382,FALSE
"01905",0,1404.826524,0,1404.826524,FALSE
"11368",0,1352.795912,0,1352.795912,FALSE
"10019",0,1343.721742,0,1343.721742,FALSE
"07950",0,1340.393,0,1340.393,FALSE
"01830",0,1335.697,0,1335.697,FALSE
"07936",0,1335.048,0,1335.048,FALSE
"33458",0,1313.559,0,1313.559,FALSE
"10038",0,1294.401,0,1294.401,FALSE
"20007",0,0,1290.409277,1290.409277,FALSE
"01810",0,1284.774,0,1284.774,FALSE
"33327",0,1271.961,0,1271.961,FALSE
"07310",1252.084,0,0,1252.084,FALSE
"02062",0,1222.719382,0,1222.719382,FALSE
"03909",0,1222.719382,0,1222.719382,FALSE
"28203",0,1222.719382,0,1222.719382,FALSE
"53051",0,1222.719382,0,1222.719382,FALSE
"60611",0,1222.719382,0,1222.719382,FALSE
"85260",0,1222.719382,0,1222.719382,FALSE
"98052",0,1222.719382,0,1222.719382,FALSE
"01469",0,1215.48,0,1215.48,FALSE
"06107",0,1185.95,0,1185.95,FALSE
"89113",0,1180.26,0,1180.26,FALSE
"06105",0,1170.72,0,1170.72,FALSE
"02316",0,1170.68877,0,1170.68877,FALSE
"02370",0,1144.497,0,1144.497,FALSE
"20854",1112.302,0,0,1112.302,FALSE
"01970",0,1100.162,0,1100.162,FALSE
"01772",1094.744,0,0,1094.744,FALSE
"11757",0,1084,0,1084,FALSE
"60614",0,1083.679,0,1083.679,FALSE
"77054",0,0,1077.99232,1077.99232,FALSE
"34231",0,1072.806,0,1072.806,FALSE
"01741",0,1066.627546,0,1066.627546,FALSE
"03110",0,1047.213,0,1047.213,FALSE
"29673",0,1045.797,0,1045.797,FALSE
"13207",0,1045.23,0,1045.23,FALSE
"48382",0,1040.61224,0,1040.61224,FALSE
"03301",0,1019.915,0,1019.915,FALSE
"28277",0,942,0,942,FALSE
"03062",0,937.65,0,937.65,FALSE
"06067",0,0,923.597,923.597,FALSE
"15203",0,0,912.728513,912.728513,FALSE
"02142",0,910.53571,0,910.53571,FALSE
"33418",0,899.856,0,899.856,FALSE
"02703",0,889.497,0,889.497,FALSE
"06475",0,884.520404,0,884.520404,FALSE
"20003",229.23,0,640.05794,869.28794,FALSE
"02061",0,864.807,0,864.807,FALSE
"02338",0,858.505098,0,858.505098,FALSE
"19006",0,788.65,0,788.65,FALSE
"79928",0,776.976,0,776.976,FALSE
"80216",0,0,772.512,772.512,FALSE
"02339",0,734.748,0,734.748,FALSE
"30331",699.28,0,0,699.28,FALSE
"78259",0,689.76,0,689.76,FALSE
"11791",0,676.397956,0,676.397956,FALSE
"02554",0,666.364,0,666.364,FALSE
"77073",636.196,0,0,636.196,FALSE
"89103",0,630.018,0,630.018,FALSE
"33139",0,606.676,0,606.676,FALSE
"02027",0,584.724,0,584.724,FALSE
"19130",0,576.583,0,576.583,FALSE
"20170",0,572.451,0,572.451,FALSE
"60605",0,572.336732,0,572.336732,FALSE
"02493",0,553.16,0,553.16,FALSE
"02056",0,546.321426,0,546.321426,FALSE
"60657",0,546.321426,0,546.321426,FALSE
"75019",0,536.544,0,536.544,FALSE
"02744",0,535.968,0,535.968,FALSE
"32953",0,520.30612,0,520.30612,FALSE
"18960",0,508.55,0,508.55,FALSE
"92116",0,500.01,0,500.01,FALSE
"02539",0,491.945,0,491.945,FALSE
"01752",0,478.972,0,478.972,FALSE
"02720",0,477.75,0,477.75,FALSE
"28405",0,452.13,0,452.13,FALSE
"70119",0,445.102,0,445.102,FALSE
"31410",0,416.244896,0,416.244896,FALSE
"30504",0,407.7,0,407.7,FALSE
"10588",0,384.336,0,384.336,FALSE
"44122",364.303379,0,0,364.303379,FALSE
"02673",0,361.248,0,361.248,FALSE
"04072",0,339.348,0,339.348,FALSE
"63385",0,330.114,0,330.114,FALSE
"17011",0,323.664,0,323.664,FALSE
"02188",233.544,78.732,0,312.276,FALSE
"33710",0,312.183672,0,312.183672,FALSE
"19406",0,0,303.18534,303.18534,FALSE
"02715",0,302.001,0,302.001,FALSE
"20118",0,289.69,0,289.69,FALSE
"02460",0,280.704,0,280.704,FALSE
"01908",0,278.86,0,278.86,FALSE
"02310",0,276.948,0,276.948,FALSE
"06716",0,260.15306,0,260.15306,FALSE
"28204",0,0,251.787176,251.787176,FALSE
"05494",0,249.53,0,249.53,FALSE
"77381",0,243.198,0,243.198,FALSE
"80917",0,235.6,0,235.6,FALSE
"04064",0,234.594,0,234.594,FALSE
"98103",0,200.355,0,200.355,FALSE
"10013",0,187.341,0,187.341,FALSE
"33811",0,182.107142,0,182.107142,FALSE
"46204",0,175.83,0,175.83,FALSE
"02559",0,170.583,0,170.583,FALSE
"15208",0,0,168.4363,168.4363,FALSE
"19123",0,165.536,0,165.536,FALSE
"33308",0,135.476,0,135.476,FALSE
"00227",0,133.095,0,133.095,FALSE
"60527",0,0,130.18,130.18,FALSE
"79936",0,130.07653,0,130.07653,FALSE
"80211",0,130.07653,0,130.07653,FALSE
"04022",0,124.755,0,124.755,FALSE
"01212",0,121.91,0,121.91,FALSE
"70461",0,119.556,0,119.556,FALSE
"01545",0,116.256,0,116.256,FALSE
"94546",0,106.608,0,106.608,FALSE
"36075",0,104.061224,0,104.061224,FALSE
"37209",0,104.061224,0,104.061224,FALSE
"44303",0,104.04,0,104.04,FALSE
"02540",0,93.176,0,93.176,FALSE
"33496",0,90.432,0,90.432,FALSE
"49301",0,78.045918,0,78.045918,FALSE
"01605",0,77.691,0,77.691,FALSE
"02028",0,59.495,0,59.495,FALSE
"20190",0,55.668,0,55.668,FALSE
"02351",0,55.605,0,55.605,FALSE
"02382",0,52.030612,0,52.030612,FALSE
"23225",0,50.558,0,50.558,FALSE
"98121",0,10.466,0,10.466,FALSE
"02657",0,7.27,0,7.27,FALSE
