origin,destination,dist_km,total_veh,n_av,n_normal,av_fraction,scenario,E_eff,ground_max,domain_max,ground_mean
2116,2108,1.060113653,165202.83901665,109687.068154082,55515.7708625681,0.663953893328837,No Policy,1.91725690826005e-07,1.31295036360604e-06,1.31295036360604e-06,8.50813737404815e-07
2116,2111,1.26381351,164890.744939271,109479.852076321,55410.8928629498,0.663953893328837,No Policy,1.91363490921061e-07,1.31046999441376e-06,1.31046999441376e-06,8.49206416792304e-07
2116,2115,1.972403126,165057.362936679,109590.478744399,55466.8841922801,0.663953893328837,No Policy,1.91556858969984e-07,1.31179419175554e-06,1.31179419175554e-06,8.5006451875918e-07
2116,2118,1.370015114,165000.278848558,109552.577541844,55447.7013067142,0.663953893328837,No Policy,1.91490610191844e-07,1.31134051568859e-06,1.31134051568859e-06,8.49770529099864e-07
2118,2111,1.636543894,251.854251012146,167.219610510933,84.6346405012135,0.663953893328837,No Policy,2.92288743645036e-10,2.00161288032584e-09,2.00161288032584e-09,1.29707853606159e-09
2118,2115,1.999934567,356.585919520766,236.756609572056,119.82930994871,0.663953893328837,No Policy,4.13834787379499e-10,2.83396832329496e-09,2.83396832329496e-09,1.8364587479203e-09
2118,2116,1.370015114,132371.086421451,87888.2981936904,44482.7882277607,0.663953893328837,No Policy,1.53622892564114e-07,1.0520198507633e-06,1.0520198507633e-06,6.81726412408807e-07
2118,2119,1.964409789,343.599663545107,228.134334357252,115.465329187855,0.663953893328837,No Policy,3.98763624480624e-10,2.73075999100108e-09,2.73075999100108e-09,1.76957802693927e-09
2118,2120,2.237183405,132585.962704214,88030.9661382149,44554.9965659991,0.663953893328837,No Policy,1.53872266630565e-07,1.05372758106179e-06,1.05372758106179e-06,6.82833050129475e-07
2118,2125,2.750825735,323.831752218138,215.009352668732,108.822399549406,0.663953893328837,No Policy,3.75822030510993e-10,2.57365441994089e-09,2.57365441994089e-09,1.66777099615882e-09
2118,2127,2.627991548,179.307597974991,119.051977778937,60.2556201960538,0.663953893328837,No Policy,2.08094929219963e-10,1.4250480037747e-09,1.4250480037747e-09,9.2345487817438e-10
2119,2118,1.964409789,380.329084662598,252.520976507925,127.808108154673,0.663953893328837,No Policy,4.41389850998926e-10,3.02266724331161e-09,3.02266724331161e-09,1.95873879584433e-09
2119,2120,1.305711996,264145.755008116,175380.602443924,88765.1525641922,0.663953893328837,No Policy,3.06553614085189e-07,2.09929966789459e-06,2.09929966789459e-06,1.3603812039539e-06
2119,2121,2.023971733,790.810599797988,525.061776621587,265.748823176401,0.663953893328837,No Policy,9.17773020495825e-10,6.28497107391497e-09,6.28497107391497e-09,4.07276609771614e-09
2119,2125,2.563154726,430.415655007386,285.776149891835,144.639505115551,0.663953893328837,No Policy,4.99517679537586e-10,3.42073050383065e-09,3.42073050383065e-09,2.21669042889431e-09
2119,2130,2.96757456,525.150716104526,348.675862542027,176.474853562499,0.663953893328837,No Policy,6.09462188617496e-10,4.17363786095661e-09,4.17363786095661e-09,2.70458695582511e-09
2120,2115,0.952875416,164959.024693233,109525.1866848,55433.8380084332,0.663953893328837,No Policy,1.91442732797749e-07,1.27125702936385e-06,1.27125702936385e-06,8.34254010757172e-07
2120,2118,2.237183405,164905.109372754,109489.389397858,55415.7199748963,0.663953893328837,No Policy,1.91380161523996e-07,1.31058415581847e-06,1.31058415581847e-06,8.49280395286924e-07
2120,2119,1.305711996,165025.442280495,109569.284900448,55456.1573800471,0.663953893328837,No Policy,1.91519813542103e-07,1.31154050218584e-06,1.31154050218584e-06,8.4990012368613e-07
2120,2130,2.994964442,164989.969552472,109545.73264457,55444.2369079019,0.663953893328837,No Policy,1.91478645767226e-07,1.31125858250798e-06,1.31125858250798e-06,8.49717435032079e-07
2121,2119,2.023971733,387.548970611615,257.314647893165,130.23432271845,0.663953893328837,No Policy,4.4976886935902e-10,3.08004732187673e-09,3.08004732187673e-09,1.99592204393185e-09
2121,2122,3.969033818,220310.607438606,146276.085550504,74034.5218881025,0.663953893328837,No Policy,2.55680856690401e-07,1.75091962017451e-06,1.75091962017451e-06,1.13462512158083e-06
2121,2124,2.549820527,329943.940771939,219067.564055788,110876.376716151,0.663953893328837,No Policy,3.82915513770189e-07,2.62223106808997e-06,2.62223106808997e-06,1.69924947448363e-06
2121,2125,2.709846204,359.733071095514,238.846173113006,120.886897982508,0.663953893328837,No Policy,4.17487205300368e-10,2.85898032568538e-09,2.85898032568538e-09,1.85266694270332e-09
2121,2126,3.557329907,634.539412212498,421.30491320908,213.234499003418,0.663953893328837,No Policy,7.36412932652489e-10,5.04300505333806e-09,5.04300505333806e-09,3.26795139870906e-09
2121,2130,2.378980882,446.43513977739,296.412349174002,150.022790603388,0.663953893328837,No Policy,5.181090475945e-10,3.54804543666566e-09,3.54804543666566e-09,2.2991926291567e-09
2122,2121,3.969033818,329460.432432432,218746.536811316,110713.895621117,0.663953893328837,No Policy,3.82354379524774e-07,2.61838838321882e-06,2.61838838321882e-06,1.69675935058594e-06
