origin,destination,dist_km,total_veh,n_av,n_normal,av_fraction,E_eff,ground_max,domain_max,ground_mean
2119,2121,2.023971733,839.185758193347,0,839.185758193347,0,1.61879968787297e-09,1.10856486141286e-08,1.10856486141286e-08,7.18368522556988e-09
2119,2125,2.563154726,447.192633169681,0,447.192633169681,0,8.6264011028102e-10,5.90741721453741e-09,5.90741721453741e-09,3.82810489873039e-09
2119,2130,2.96757456,553.830839045899,0,553.830839045899,0,1.06834652593731e-09,7.31610851755699e-09,7.31610851755699e-09,4.74096036196356e-09
2120,2115,0.952875416,164983.206464066,0,164983.206464066,0,3.18254642098893e-07,2.11333929986948e-06,2.11333929986948e-06,1.38686492682689e-06
2120,2118,2.237183405,164955.158164809,0,164955.158164809,0,3.18200536583351e-07,2.17905857272874e-06,2.17905857272874e-06,1.41206630477285e-06
2120,2119,1.305711996,165024.825382288,0,165024.825382288,0,3.18334925505957e-07,2.17997887706584e-06,2.17997887706584e-06,1.41266267733521e-06
2120,2130,2.994964442,132374.66095616,0,132374.66095616,0,2.55352355239506e-07,1.74867002025111e-06,1.74867002025111e-06,1.1331673433041e-06
2121,2119,2.023971733,378.658033958018,0,378.658033958018,0,7.30436022295559e-10,5.00207477115959e-09,5.00207477115959e-09,3.24142789308494e-09
2121,2122,3.969033818,165375.019506819,0,165375.019506819,0,3.19010454295561e-07,2.18460494343241e-06,2.18460494343241e-06,1.41566044550979e-06
2121,2124,2.549820527,220191.686173487,0,220191.686173487,0,4.24752481044535e-07,2.90873342027019e-06,2.90873342027019e-06,1.8849077779432e-06
2121,2125,2.709846204,370.284902196496,0,370.284902196496,0,7.14284147755586e-10,4.8914656532119e-09,4.8914656532119e-09,3.16975133954513e-09
2121,2126,3.557329907,220191.686173487,0,220191.686173487,0,4.24752481044535e-07,2.90873342027019e-06,2.90873342027019e-06,1.8849077779432e-06
2121,2130,2.378980882,445.907045178131,0,445.907045178131,0,8.60160195173864e-10,5.89043458989475e-09,5.89043458989475e-09,3.81709987466879e-09
2122,2121,3.969033818,219827.0990991,0,219827.0990991,0,4.24049188076968e-07,2.90391722295458e-06,2.90391722295458e-06,1.881786801742e-06
2122,2124,3.035840126,733.333333333333,0,733.333333333333,0,1.41460905349794e-09,9.68733748277932e-09,9.68733748277932e-09,6.27755628673435e-09
2122,2125,2.394128776,329562.794520548,0,329562.794520548,0,6.35730699306613e-07,4.35352638039328e-06,4.35352638039328e-06,2.82115771720392e-06
2124,2121,2.549820527,439093.765765767,0,439093.765765767,0,8.47017295072853e-07,5.8004311303056e-06,5.8004311303056e-06,3.75877613147557e-06
2124,2122,3.035840126,733.333333333333,0,733.333333333333,0,1.41460905349794e-09,9.68733748277932e-09,9.68733748277932e-09,6.27755628673435e-09
2124,2126,2.271222943,733.333333333333,0,733.333333333333,0,1.41460905349794e-09,9.68733748277932e-09,9.68733748277932e-09,6.27755628673435e-09
2125,2118,2.750825735,411.619769198772,0,411.619769198772,0,7.94019616509977e-10,5.4374994801985e-09,5.4374994801985e-09,3.52359036801531e-09
2125,2119,2.563154726,461.026165829393,0,461.026165829393,0,8.89325165565959e-10,6.09015825924698e-09,6.09015825924698e-09,3.94652414407001e-09
2125,2121,2.709846204,1028.82754536546,0,1028.82754536546,0,1.98462103658461e-09,1.35908176957291e-08,1.35908176957291e-08,8.80707658005603e-09
2125,2122,2.394128776,494769.03926409,0,494769.03926409,0,9.54415585000173e-07,6.53590180824783e-06,6.53590180824783e-06,4.23537339942792e-06
2125,2127,2.505750037,256.893420539366,0,256.893420539366,0,4.95550579744147e-10,3.39356353891417e-09,3.39356353891417e-09,2.19908578244671e-09
2126,2124,2.271222943,550,0,550,0,1.06095679012346e-09,7.26550311208449e-09,7.26550311208449e-09,4.70816721505076e-09
2126,2130,4.155079203,263405.357798165,0,263405.357798165,0,5.08112187110658e-07,3.47958626694963e-06,3.47958626694963e-06,2.25482994518916e-06
2126,2131,2.715138703,329450,0,329450,0,6.35513117283951e-07,4.35203636413861e-06,4.35203636413861e-06,2.82019216181541e-06
2126,2136,8.18036171,550,0,550,0,1.06095679012346e-09,7.26550311208449e-09,7.26550311208449e-09,4.70816721505076e-09
2127,2110,2.811209001,235.741895476625,0,235.741895476625,0,4.54749026768181e-10,3.11415177315293e-09,3.11415177315293e-09,2.01802229726722e-09
2127,2111,2.385681299,352.595951417004,0,352.595951417004,0,6.80161943319838e-10,4.65779451332479e-09,4.65779451332479e-09,3.01832854294758e-09
2127,2118,2.627991548,468.521290381402,0,468.521290381402,0,9.03783353359186e-10,6.18916889698894e-09,6.18916889698894e-09,4.01068468895817e-09
